,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
1515,29079.0,3731,104.0,16.6,4204,93
1516,29081.0,2437,33.0,18.4,3669,77
1517,29083.0,79000,1086.0,16.0,9405,261
1518,29085.0,2878,70.0,16.1,4371,92
1519,29087.0,2185,35.0,10.4,2133,24
1520,29089.0,6547,91.0,11.6,3981,95
1521,29091.0,2141,58.0,22.1,16192,470
1522,29093.0,1182,31.0,22.4,4378,119
1523,29095.0,2744,31.0,13.2,274804,10668
1524,29097.0,10289,228.0,17.0,45639,1524
1525,29099.0,2439,47.0,9.2,81700,3260
1526,29101.0,108986,1261.0,13.5,19311,490
1527,29103.0,13570,148.0,17.5,1708,28
1528,29105.0,15202,226.0,15.7,14081,411
1529,29107.0,129945,1363.0,11.8,13022,397
1530,29109.0,1116,15.0,16.6,14869,487
1531,29111.0,8974,184.0,18.2,3874,88
1532,29113.0,8602,139.0,11.6,18906,740
1533,29115.0,8557,176.0,14.3,5299,115
1534,29117.0,3091,43.0,12.8,5871,121
1535,29121.0,16930,147.0,13.6,6412,158
1536,29123.0,2881,70.0,17.6,4898,159
1537,29125.0,4138,101.0,16.7,3705,99
1538,29127.0,4010,64.0,16.4,11377,318
1539,29119.0,3976,59.0,17.7,8404,364
1540,29129.0,1790,39.0,14.0,1560,23
1541,29131.0,9075,128.0,14.5,9917,312
1542,29133.0,6319,81.0,24.8,5180,237
1543,29135.0,814,14.0,12.1,5532,160
1544,29137.0,6611,125.0,18.6,3638,94
1545,29139.0,4136,62.0,15.4,4868,133
1546,29141.0,4129,59.0,19.6,8450,240
1547,29143.0,2392,48.0,21.1,7742,264
1548,29145.0,2833,61.0,12.7,22021,812
1549,29147.0,4499,117.0,20.7,8545,100
1550,29149.0,5680,88.0,27.6,4527,98
1551,29151.0,12962,214.0,8.7,5328,71
1552,29153.0,6850,49.0,21.5,4194,104
1553,29155.0,2265,38.0,30.4,7350,354
1554,29157.0,3481,48.0,9.4,7357,214
1555,29159.0,1925,64.0,13.4,16428,536
1556,29161.0,3399,82.0,20.7,17564,454
1557,29163.0,5788,46.0,16.2,6560,211
1558,29165.0,13853,177.0,5.3,36103,946
1559,29167.0,11789,251.0,14.0,11677,359
1560,29169.0,4765,64.0,13.7,16004,551
1561,29171.0,11867,105.0,12.1,2132,35
